Shop_ID,Shop_Type,Shop_Location,Shop_Size_sqft,Years_in_Operation,Average_Daily_Customers,Average_Spending_per_Customer,Competition_Count,Rent_Cost_per_Month,Monthly_Inventory_Cost,Other_Expenses,Festival_Season,Exam_Season,Month,Monthly_Earnings
148,Salon,BH-7 Complex,230,7,129,105,5,16603,28178,10570,1,0,Nov,342805
149,Mobile Shop,BH-7 Complex,196,4,110,74,3,6140,19882,9921,1,0,Aug,177920
150,Salon,BH-5 Complex,169,9,75,101,3,15873,27289,8016,0,1,Jul,169675
151,Cafe,BH-7 Complex,121,8,72,90,4,13102,33743,11408,0,0,Jun,144400
152,Mobile Shop,BH-7 Complex,216,9,60,103,2,17130,37668,11030,0,0,Oct,123040
153,Cafe,BH-1 Complex,179,7,131,83,2,9225,16316,9699,1,1,Oct,254444
154,Cafe,UniMall,198,5,114,109,1,15776,31866,7179,0,0,Mar,297928
155,Salon,BH-7 Complex,232,2,130,91,3,14841,24160,6637,0,1,Oct,304900
156,Mobile Shop,BH-1 Complex,147,6,98,100,2,12602,26543,8795,1,1,Apr,224400
157,Food Stall,BH-5 Complex,92,1,95,62,4,11472,25106,9189,0,1,Nov,114920
158,Clothing,BH-7 Complex,137,3,91,80,2,7735,23258,7061,1,1,Jan,161120
159,Cafe,BH-5 Complex,156,9,94,93,2,10211,15661,7883,0,0,Dec,212260
160,Clothing,BH-1 Complex,183,6,76,75,5,7679,30901,4236,1,1,Jan,121000
161,Food Stall,BH-7 Complex,95,6,89,80,4,12549,38505,8551,1,0,Jan,156480
162,Cafe,BH-1 Complex,154,3,82,109,4,15793,33792,4340,0,1,Feb,200264
163,Clothing,BH-7 Complex,91,1,114,65,2,14597,25382,8437,0,1,Aug,172300
164,Salon,BH-1 Complex,145,2,89,73,3,9138,22693,4072,0,1,Oct,138413
165,Food Stall,BH-7 Complex,210,3,84,61,1,10259,23286,9901,1,1,Feb,93472
166,Clothing,BH-7 Complex,91,4,67,80,2,6963,31920,11246,0,1,Nov,105440
167,Salon,BH-1 Complex,241,9,61,119,2,12610,21430,11154,0,1,Aug,167770
168,Salon,UniMall,235,3,138,68,4,16322,27168,9218,0,1,Aug,231520
169,Clothing,BH-5 Complex,203,6,76,96,2,7403,24011,7292,0,1,Mar,168880
170,Mobile Shop,BH-7 Complex,209,5,66,86,5,7549,24956,10140,1,0,Jul,114604
171,Salon,BH-7 Complex,161,5,64,60,5,12356,39817,10636,0,0,Jan,57520
172,Salon,Law Gate,113,4,119,70,4,12036,33739,9887,0,1,Apr,199900
173,Food Stall,UniMall,199,9,88,97,1,12164,25636,6672,0,0,Jan,197544
174,Clothing,BH-1 Complex,113,8,69,109,3,14123,33663,4788,0,0,Jan,168109
175,Salon,UniMall,166,1,119,82,5,13083,37614,6148,1,0,Jan,223224
176,Stationery,BH-5 Complex,222,3,64,79,3,16142,31749,11395,0,0,May,91568
177,Cafe,BH-5 Complex,160,8,64,89,1,17615,25759,9439,1,1,Mar,115184
178,Food Stall,Law Gate,198,2,108,95,2,12979,24832,6216,1,0,Aug,247540
179,Clothing,Law Gate,90,1,61,113,2,15908,21303,10494,0,0,Nov,143004
180,Clothing,BH-5 Complex,111,3,137,119,1,13128,26889,6837,0,0,Jul,422787
181,Salon,BH-7 Complex,205,8,98,108,4,17182,39081,6196,0,0,Jun,246352
182,Salon,BH-5 Complex,106,2,148,81,3,9537,28057,10684,0,0,Jun,285664
183,Mobile Shop,BH-1 Complex,102,7,102,96,4,7376,23706,4702,0,1,Aug,224176
184,Clothing,BH-1 Complex,143,2,117,75,3,11995,31898,4448,0,1,Jul,195700
185,Clothing,BH-5 Complex,165,6,86,61,4,8159,20132,9512,1,0,Feb,96888
186,Mobile Shop,BH-1 Complex,180,4,112,116,5,9983,16778,11902,0,1,Jun,339760
187,Salon,Law Gate,117,4,85,96,4,11588,28109,6023,1,0,Jul,186640
188,Cafe,BH-5 Complex,211,8,130,63,2,9586,31087,11908,0,1,Dec,179320
189,Mobile Shop,BH-7 Complex,155,6,119,78,5,9390,20997,10354,1,0,Apr,209896
190,Clothing,UniMall,126,9,114,108,4,16720,16169,4830,0,0,Jun,319360
191,Mobile Shop,BH-5 Complex,154,7,63,79,1,8010,39974,5733,1,0,Apr,99310
192,Mobile Shop,BH-7 Complex,160,3,120,69,5,11068,28930,7696,0,1,Oct,190120
193,Cafe,BH-7 Complex,179,6,128,88,2,16195,17096,11060,0,1,Feb,265392
194,Mobile Shop,BH-5 Complex,187,9,94,60,4,16851,25053,6856,0,1,Aug,107920
195,Mobile Shop,Law Gate,159,6,89,81,2,6162,16974,7291,1,0,Sep,166270
196,Stationery,UniMall,100,4,104,95,2,8643,23017,6297,0,0,Feb,246400
197,Salon,Law Gate,233,8,91,115,1,7171,36975,7726,0,1,May,263950
198,Food Stall,BH-7 Complex,207,9,62,82,5,14100,33322,4370,0,0,Apr,97436
199,Salon,Law Gate,107,9,130,81,1,8336,24879,11740,0,0,Jun,265900
200,Food Stall,Law Gate,153,2,124,69,3,17780,32921,10165,0,0,Aug,189568
201,Food Stall,BH-7 Complex,99,4,99,97,4,6610,16727,6290,0,0,May,238090
202,Clothing,Law Gate,192,2,138,81,1,13548,21823,6105,0,0,Dec,274162
203,Food Stall,BH-1 Complex,226,5,101,111,3,10869,30795,5814,0,0,Aug,286330
204,Food Stall,Law Gate,121,4,83,119,4,16403,22239,10710,0,1,Mar,226556
205,Clothing,UniMall,87,5,86,109,4,10135,21629,6976,1,0,Jun,231220
206,Salon,BH-7 Complex,100,2,78,91,4,13183,36632,4574,1,1,Nov,148744
207,Food Stall,BH-5 Complex,241,5,86,64,3,12274,25592,6243,0,1,Apr,104112
208,Clothing,BH-5 Complex,210,5,109,65,4,13544,36953,6990,1,0,May,162550
209,Cafe,BH-1 Complex,102,6,94,111,1,12450,28230,8433,1,0,Nov,252586
210,Clothing,UniMall,227,1,94,92,3,12049,16089,8578,0,0,Jun,192144
211,Clothing,BH-5 Complex,224,7,74,80,1,15528,32332,7373,1,1,Feb,127600
212,Mobile Shop,BH-5 Complex,151,3,65,118,3,8454,35058,5377,1,0,Apr,180100
213,Mobile Shop,UniMall,162,3,84,99,3,10249,29949,5750,1,1,Apr,191164
214,Clothing,UniMall,98,4,104,66,5,13230,30432,6810,0,0,Sep,149056
215,Mobile Shop,UniMall,147,8,123,92,2,7762,26240,6381,0,0,Sep,266848
216,Clothing,BH-1 Complex,90,2,114,75,5,15277,33863,5693,0,0,Apr,189400
217,Salon,UniMall,147,3,126,103,1,13156,17044,11368,0,1,Aug,313384
218,Mobile Shop,UniMall,226,4,104,82,5,7447,21581,7659,0,1,Jun,205840
219,Clothing,BH-5 Complex,229,3,79,116,4,7846,32862,6395,1,1,Jul,206592
220,Food Stall,Law Gate,224,6,60,67,2,10005,22429,6261,1,0,Oct,70600
221,Mobile Shop,BH-1 Complex,163,8,124,116,1,15836,17800,8962,0,0,Jan,352752
222,Salon,BH-7 Complex,141,6,121,67,1,10987,30200,8697,0,0,Sep,193210
223,Food Stall,BH-7 Complex,90,3,76,83,3,8866,26834,4182,0,0,Jan,126624
224,Salon,BH-7 Complex,188,1,99,103,5,17595,27871,8551,1,1,May,255910
225,Salon,UniMall,163,2,67,84,2,14365,28654,7741,0,0,Apr,118840
226,Clothing,UniMall,155,3,141,96,1,7774,25651,4935,1,1,Sep,356080
227,Stationery,UniMall,200,7,133,61,4,16058,24101,8305,0,1,May,193390
228,Cafe,UniMall,248,3,61,88,3,6386,21031,7421,0,0,Oct,105672
229,Food Stall,BH-5 Complex,100,6,144,108,3,10318,22064,11446,0,1,Jul,416560
230,Cafe,BH-1 Complex,235,9,132,112,3,17897,18259,7435,0,0,Sep,378736
231,Salon,BH-5 Complex,244,8,92,83,1,9361,37967,11835,0,0,Oct,179080
232,Stationery,BH-1 Complex,128,1,119,77,5,11546,26246,9598,0,1,Aug,224890
233,Salon,Law Gate,148,8,135,97,3,7054,30747,9744,0,0,Oct,316660
234,Stationery,Law Gate,85,5,86,105,2,10458,21591,5257,1,0,Oct,211870
235,Food Stall,BH-7 Complex,156,4,94,82,1,6785,21139,10344,0,0,Apr,173532
236,Salon,BH-7 Complex,202,7,128,96,3,8352,16932,6721,0,1,Mar,294064
237,Clothing,BH-1 Complex,208,8,144,105,5,15748,23491,4138,0,1,Nov,403600
238,Mobile Shop,UniMall,231,3,110,76,5,9835,39401,6151,1,0,May,200800
239,Stationery,BH-7 Complex,177,6,76,96,5,9730,25238,10207,0,0,Jun,161584
240,Food Stall,Law Gate,91,6,70,98,1,15168,16207,9139,1,0,Dec,142080
241,Clothing,BH-1 Complex,240,8,111,91,3,13166,27982,11929,0,0,Feb,242929
242,Clothing,BH-7 Complex,242,9,140,110,4,9802,36083,5970,0,1,Jan,381200
243,Salon,BH-7 Complex,110,7,131,78,2,11442,17490,10980,0,1,Nov,256540
244,Clothing,Law Gate,248,8,126,113,3,11929,27413,4276,0,1,Mar,362902
245,Stationery,UniMall,115,9,78,109,5,10208,26590,4541,1,0,Aug,196558
246,Stationery,Law Gate,183,7,67,64,1,17390,23448,7747,1,0,Apr,70064
247,Stationery,BH-5 Complex,113,3,89,90,3,7098,34810,7655,1,1,Jan,182290
248,Cafe,BH-7 Complex,190,2,93,101,3,13355,21465,8545,1,1,Jul,222397
249,Food Stall,UniMall,237,5,86,113,5,13398,32972,7878,0,0,Sep,222104
250,Mobile Shop,Law Gate,89,4,84,81,4,16576,31566,11190,0,0,Feb,154120
251,Stationery,Law Gate,91,7,87,105,2,12846,33691,5228,0,1,Nov,205780
252,Cafe,Law Gate,175,6,135,108,1,11086,38545,5884,0,1,Sep,387400
253,Stationery,UniMall,144,3,65,64,1,11951,20276,4667,1,0,Apr,66480
254,Clothing,BH-1 Complex,244,1,141,74,2,16380,17224,4197,0,0,Dec,263020
255,Stationery,BH-7 Complex,180,1,148,115,4,12318,35180,7988,0,1,Sep,460600
256,Food Stall,BH-7 Complex,127,7,132,80,4,11842,16316,6857,1,0,Feb,266800
257,Salon,Law Gate,220,4,137,94,2,15083,20574,8072,0,1,Nov,310584
258,Salon,BH-7 Complex,241,9,113,115,4,8016,25860,5878,1,0,Dec,326855
259,Salon,BH-5 Complex,92,9,103,80,1,7461,36568,4355,0,0,Dec,188960
260,Cafe,UniMall,179,3,106,112,1,17788,35132,7173,1,0,Dec,294288
261,Cafe,UniMall,163,7,113,111,4,14931,16401,7259,0,0,Dec,301204
262,Mobile Shop,UniMall,241,5,117,71,5,17956,20818,6222,0,1,Jul,199210
263,Clothing,BH-1 Complex,239,8,116,71,1,12516,35963,4972,0,0,Jun,197080
264,Cafe,BH-5 Complex,158,7,118,63,4,14680,17204,6657,0,1,Sep,173020
265,Food Stall,UniMall,138,7,64,115,2,17594,38067,4277,1,1,Nov,163440
266,Clothing,BH-5 Complex,144,1,104,78,4,14652,35148,10599,0,1,Sep,193360
267,Food Stall,Law Gate,84,4,106,90,4,10781,18313,6841,0,0,Jan,217120
268,Salon,BH-7 Complex,213,6,109,97,2,8783,18644,9241,0,0,Mar,267190
269,Food Stall,BH-1 Complex,156,2,65,88,3,17498,23811,7232,0,1,Sep,110160
270,Stationery,Law Gate,155,5,75,63,1,15467,34127,9951,1,0,Jun,91750
271,Salon,BH-1 Complex,204,2,141,85,1,15475,15619,4882,1,0,Feb,297565
272,Clothing,UniMall,118,1,93,114,3,8409,23199,6525,1,1,Jun,246856
273,Clothing,BH-5 Complex,249,5,103,68,2,12217,35003,5636,0,1,Aug,146112
274,Salon,BH-1 Complex,187,4,107,86,1,16852,30514,6936,0,1,Feb,216858
275,Stationery,BH-5 Complex,227,5,60,91,3,16844,35806,7824,0,0,Oct,102880
276,Salon,BH-1 Complex,161,4,137,76,1,14307,19956,6003,0,0,Apr,251948
277,Salon,Law Gate,224,6,146,69,2,9786,24256,8200,0,0,Apr,252220
278,Cafe,BH-1 Complex,226,7,128,70,2,6660,37626,6635,1,0,Apr,218800
279,Food Stall,BH-1 Complex,191,7,82,101,4,16867,18180,8316,0,0,Oct,198460
280,Salon,BH-5 Complex,103,8,74,94,2,15582,30639,7354,1,0,Jan,144768
281,Mobile Shop,BH-7 Complex,141,9,146,112,1,17116,31964,8958,0,0,Jun,440560
282,Stationery,BH-1 Complex,165,4,116,69,4,9156,26580,8307,0,1,Apr,190120
283,Mobile Shop,BH-7 Complex,104,3,100,64,1,17606,33233,4305,0,1,Jun,129200
284,Food Stall,BH-1 Complex,110,2,98,75,1,14501,17708,5991,0,1,Jun,163150
285,Salon,UniMall,144,9,76,63,3,6152,37138,6964,0,1,Aug,93640
286,Food Stall,Law Gate,246,9,125,99,1,13263,16914,11365,0,0,Sep,321250
287,Stationery,UniMall,142,1,72,65,4,7363,24523,6292,0,0,Jan,85720
288,Clothing,Law Gate,192,3,140,62,3,9171,32951,11007,1,0,Oct,201720
289,Stationery,BH-7 Complex,162,6,92,73,1,10796,28046,10019,0,0,May,144764
290,Salon,BH-1 Complex,226,9,124,64,4,17599,15389,4999,0,1,Feb,188080
291,Stationery,Law Gate,95,7,81,110,3,10068,25758,7277,0,0,Aug,199480
292,Mobile Shop,UniMall,84,9,71,112,4,16116,31523,5424,0,0,Nov,188560
293,Stationery,Law Gate,126,7,92,109,4,6018,36205,10340,1,1,Jul,230784
294,Salon,BH-5 Complex,108,8,138,82,2,12358,39703,9941,1,1,Aug,278164
295,Cafe,BH-7 Complex,235,9,149,88,5,12160,25561,4517,0,0,Jan,330248
296,Food Stall,BH-1 Complex,81,8,108,71,2,13162,28065,10241,0,0,Jul,180040
297,Mobile Shop,BH-5 Complex,187,3,98,86,4,7518,37547,6600,0,0,May,185984
298,Food Stall,UniMall,175,6,93,81,1,7742,16306,7849,0,0,Feb,175990
299,Cafe,BH-7 Complex,158,6,88,63,3,8642,24369,10104,1,0,Jun,105232
300,Food Stall,UniMall,243,3,89,84,1,14475,19396,5091,0,1,Oct,159328
301,Cafe,Law Gate,106,6,91,91,2,14367,20285,6704,0,1,Sep,190149
302,Stationery,Law Gate,226,8,87,106,4,9676,17426,4072,0,1,Oct,226660
303,Salon,BH-5 Complex,126,1,109,79,1,17943,25278,4368,0,0,Feb,191108
304,Food Stall,BH-1 Complex,95,2,99,70,2,11041,35285,5337,1,0,Apr,144040
